Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
GRCh38_ENSG00000188976,GRCh38_NOC2L,42,-0.1456,48,0.07948,29,-0.7069,43,-0.0932,15,-1.7356,35,-0.4329,71,0.71145,61,0.44234,66,0.58326,50,0.14534
GRCh38_ENSG00000187961,GRCh38_KLHL17,22,0.57417,3,-2.3678,13,-0.2979,18,0.27418,6,-1.3832,15,-0.0159,21,0.50818,16,0.06861,22,0.55977,18,0.21482
GRCh38_ENSG00000187583,GRCh38_PLEKHN1,7,-1.7945,54,1.44537,33,0.58927,20,-0.1938,15,-0.6268,18,-0.3526,16,-0.5115,15,-0.6042,13,-0.9124,37,0.79438
GRCh38_ENSG00000188290,GRCh38_HES4,71,-0.1788,78,-0.0144,62,-0.3784,103,0.42300,37,-1.1573,56,-0.5363,72,-0.1600,77,-0.0413,114,0.59926,121,0.69587
GRCh38_ENSG00000187608,GRCh38_ISG15,931,-0.2750,1308,0.27097,1377,0.35477,1085,-0.0317,912,-0.3065,832,-0.4509,1491,0.48704,1422,0.40809,794,-0.5237,914,-0.3025
GRCh38_ENSG00000188157,GRCh38_AGRN,101,0.05491,62,-0.7037,60,-0.7509,93,-0.0687,46,-1.1490,61,-0.7377,182,1.03779,95,-0.0366,145,0.65538,129,0.45690
GRCh38_ENSG00000131591,GRCh38_C1orf159,15,-0.2681,22,0.34998,21,0.24894,27,0.67600,3,-2.6254,10,-0.8218,18,-0.0074,10,-0.8284,34,1.05362,18,0.02256
GRCh38_ENSG00000272141,GRCh38_AL390719.2,7,-0.7496,5,-1.2656,12,0.01069,5,-1.2282,1,-3.2007,5,-1.1133,5,-1.3058,24,1.19769,26,1.37829,26,1.31764
GRCh38_ENSG00000186891,GRCh38_TNFRSF18,37,0.63256,15,-0.8148,14,-0.9447,88,2.22942,10,-1.3941,16,-0.6539,10,-1.3760,4,-2.7113,43,0.87544,16,-0.7263
GRCh38_ENSG00000186827,GRCh38_TNFRSF4,28,0.88078,9,-0.9908,8,-1.0911,37,1.32518,15,-0.1978,10,-0.7411,10,-0.7888,10,-0.7443,20,0.30775,19,0.23557
GRCh38_ENSG00000078808,GRCh38_SDF4,109,-0.0609,81,-0.5208,106,-0.1062,155,0.51422,98,-0.2237,100,-0.1942,170,0.67009,83,-0.4835,112,-0.0217,117,0.05427
GRCh38_ENSG00000176022,GRCh38_B3GALT6,24,-0.3775,12,-1.4026,23,-0.4843,45,0.62039,9,-1.8452,23,-0.4373,40,0.42489,29,-0.0999,42,0.50064,61,1.13356
GRCh38_ENSG00000160087,GRCh38_UBE2J2,28,-0.7230,54,0.30357,39,-0.1954,43,-0.0602,41,-0.1167,53,0.27842,55,0.31953,55,0.32943,42,-0.1142,37,-0.3054
GRCh38_ENSG00000131584,GRCh38_ACAP3,38,-0.2010,41,-0.1070,30,-0.5744,61,0.55933,15,-1.6388,27,-0.7606,34,-0.3653,52,0.27774,105,1.51326,32,-0.4901
GRCh38_ENSG00000169972,GRCh38_PUSL1,29,0.95362,5,-1.5901,16,0.01379,5,-1.7585,10,-0.6849,24,0.67066,24,0.62663,9,-0.8119,28,0.87188,10,-0.6812
GRCh38_ENSG00000127054,GRCh38_INTS11,103,0.37590,51,-0.7278,60,-0.4778,102,0.36109,38,-1.1691,60,-0.4880,95,0.23711,99,0.31409,124,0.68464,84,0.04996
GRCh38_ENSG00000224051,GRCh38_CPTP,40,0.01474,72,0.99482,41,0.06602,19,-1.0824,26,-0.6250,27,-0.5641,38,-0.0422,48,0.31827,44,0.19711,37,-0.0890
GRCh38_ENSG00000107404,GRCh38_DVL1,40,-0.3280,46,-0.0996,52,0.08003,33,-0.6284,48,-0.0550,26,-0.9696,35,-0.5142,60,0.32370,66,0.47259,86,0.92709
GRCh38_ENSG00000162576,GRCh38_MXRA8,64,0.10002,24,-1.4173,21,-1.5950,250,2.66031,102,0.87330,44,-0.4938,34,-0.8729,7,-3.1962,36,-0.8166,21,-1.6234
GRCh38_ENSG00000175756,GRCh38_AURKAIP1,129,0.01469,75,-0.8413,114,-0.1791,97,-0.4436,97,-0.4452,109,-0.2539,209,0.80748,125,-0.0378,184,0.59397,142,0.16853
GRCh38_ENSG00000221978,GRCh38_CCNL2,176,0.13283,173,0.11001,113,-0.5593,160,-0.0164,68,-1.3307,92,-0.8713,182,0.18718,161,-0.0033,312,1.10023,180,0.17121
GRCh38_ENSG00000242485,GRCh38_MRPL20,112,-0.2308,78,-0.7838,112,-0.2391,104,-0.3563,94,-0.5071,98,-0.4386,177,0.50243,164,0.38400,196,0.67445,163,0.36860
GRCh38_ENSG00000179403,GRCh38_VWA1,63,-0.1210,98,0.59000,98,0.58090,146,1.27394,57,-0.2893,21,-1.7750,92,0.47282,48,-0.5598,23,-1.6477,39,-0.8785
GRCh38_ENSG00000160072,GRCh38_ATAD3B,46,0.65976,18,-0.8352,28,-0.1798,19,-0.7210,11,-1.5736,20,-0.6973,48,0.70444,42,0.49775,49,0.73380,29,-0.0889
GRCh38_ENSG00000197785,GRCh38_ATAD3A,31,0.09286,14,-1.0518,25,-0.1962,15,-0.9542,12,-1.2881,16,-0.8858,57,1.14364,28,-0.0260,67,1.44146,21,-0.4966
GRCh38_ENSG00000160075,GRCh38_SSU72,122,0.03569,110,-0.1244,109,-0.1362,112,-0.1039,76,-0.7077,116,-0.0398,147,0.33854,126,0.08411,161,0.49134,113,-0.0845
GRCh38_ENSG00000197530,GRCh38_MIB2,50,-0.3391,33,-0.9642,37,-0.7994,26,-1.3478,29,-1.2044,22,-1.6120,116,1.02239,92,0.62193,128,1.20118,93,0.65400
GRCh38_ENSG00000008130,GRCh38_NADK,57,0.26661,37,-0.4265,25,-0.9983,64,0.44734,31,-0.6746,24,-1.0662,63,0.42446,67,0.52346,75,0.71205,41,-0.2669
GRCh38_ENSG00000078369,GRCh38_GNB1,209,0.11869,99,-1.0503,134,-0.5833,195,0.00609,157,-0.3413,146,-0.4529,331,0.88302,146,-0.4576,214,0.15475,314,0.79163
GRCh38_ENSG00000067606,GRCh38_PRKCZ,30,-0.0091,40,0.44718,17,-0.8355,23,-0.4212,12,-1.3669,25,-0.2782,25,-0.2732,33,0.12754,49,0.79611,47,0.71638
