Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to10,Feature log2 fold change topic 2to10
GRCh38_ENSG00000188976,GRCh38_NOC2L,42,-0.1456,47,0.14561
GRCh38_ENSG00000187961,GRCh38_KLHL17,22,0.57417,15,-0.5741
GRCh38_ENSG00000187583,GRCh38_PLEKHN1,7,-1.7945,25,1.79457
GRCh38_ENSG00000188290,GRCh38_HES4,71,-0.1788,80,0.17886
GRCh38_ENSG00000187608,GRCh38_ISG15,931,-0.2750,1126,0.27506
GRCh38_ENSG00000188157,GRCh38_AGRN,101,0.05491,97,-0.0549
GRCh38_ENSG00000131591,GRCh38_C1orf159,15,-0.2681,18,0.26810
GRCh38_ENSG00000272141,GRCh38_AL390719.2,7,-0.7496,12,0.74962
GRCh38_ENSG00000186891,GRCh38_TNFRSF18,37,0.63256,24,-0.6325
GRCh38_ENSG00000186827,GRCh38_TNFRSF4,28,0.88078,15,-0.8807
GRCh38_ENSG00000078808,GRCh38_SDF4,109,-0.0609,114,0.06093
GRCh38_ENSG00000176022,GRCh38_B3GALT6,24,-0.3775,32,0.37752
GRCh38_ENSG00000160087,GRCh38_UBE2J2,28,-0.7230,47,0.72301
GRCh38_ENSG00000131584,GRCh38_ACAP3,38,-0.2010,44,0.20100
GRCh38_ENSG00000169972,GRCh38_PUSL1,29,0.95362,15,-0.9536
GRCh38_ENSG00000127054,GRCh38_INTS11,103,0.37590,79,-0.3759
GRCh38_ENSG00000224051,GRCh38_CPTP,40,0.01474,39,-0.0147
GRCh38_ENSG00000107404,GRCh38_DVL1,40,-0.3280,50,0.32804
GRCh38_ENSG00000162576,GRCh38_MXRA8,64,0.10002,60,-0.1000
GRCh38_ENSG00000175756,GRCh38_AURKAIP1,129,0.01469,128,-0.0146
GRCh38_ENSG00000221978,GRCh38_CCNL2,176,0.13283,160,-0.1328
GRCh38_ENSG00000242485,GRCh38_MRPL20,112,-0.2308,132,0.23088
GRCh38_ENSG00000179403,GRCh38_VWA1,63,-0.1210,69,0.12103
GRCh38_ENSG00000160072,GRCh38_ATAD3B,46,0.65976,29,-0.6597
GRCh38_ENSG00000197785,GRCh38_ATAD3A,31,0.09286,29,-0.0928
GRCh38_ENSG00000160075,GRCh38_SSU72,122,0.03569,119,-0.0356
GRCh38_ENSG00000197530,GRCh38_MIB2,50,-0.3391,64,0.33916
GRCh38_ENSG00000008130,GRCh38_NADK,57,0.26661,48,-0.2666
GRCh38_ENSG00000078369,GRCh38_GNB1,209,0.11869,193,-0.1186
GRCh38_ENSG00000067606,GRCh38_PRKCZ,30,-0.0091,30,0.00918
GRCh38_ENSG00000162585,GRCh38_FAAP20,70,0.40952,53,-0.4095
GRCh38_ENSG00000157933,GRCh38_SKI,22,-0.1312,25,0.13124
GRCh38_ENSG00000157916,GRCh38_RER1,104,-0.2861,126,0.28612
GRCh38_ENSG00000157911,GRCh38_PEX10,20,-0.3876,26,0.38769
GRCh38_ENSG00000149527,GRCh38_PLCH2,22,-0.3531,29,0.35315
GRCh38_ENSG00000157873,GRCh38_TNFRSF14,93,0.75482,55,-0.7548
GRCh38_ENSG00000162591,GRCh38_MEGF6,33,0.47981,24,-0.4798
GRCh38_ENSG00000158109,GRCh38_TPRG1L,55,-0.2560,66,0.25609
GRCh38_ENSG00000116213,GRCh38_WRAP73,13,-0.5483,19,0.54839
GRCh38_ENSG00000130764,GRCh38_LRRC47,41,-0.2755,50,0.27555
GRCh38_ENSG00000069424,GRCh38_KCNAB2,27,0.86217,15,-0.8621
GRCh38_ENSG00000116251,GRCh38_RPL22,732,0.13955,665,-0.1395
GRCh38_ENSG00000116237,GRCh38_ICMT,52,-0.7900,90,0.79005
GRCh38_ENSG00000158292,GRCh38_GPR153,30,-0.3641,39,0.36419
GRCh38_ENSG00000097021,GRCh38_ACOT7,39,-0.8372,70,0.83720
GRCh38_ENSG00000069812,GRCh38_HES2,38,-1.5243,109,1.52432
