Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to10,Feature log2 fold change topic 4to10
GRCh38_ENSG00000188976,GRCh38_NOC2L,42,-0.1456,39,-0.2998,49,0.28606
GRCh38_ENSG00000187961,GRCh38_KLHL17,22,0.57417,8,-1.1075,17,0.39426
GRCh38_ENSG00000187583,GRCh38_PLEKHN1,7,-1.7945,43,1.26626,19,-0.6767
GRCh38_ENSG00000188290,GRCh38_HES4,71,-0.1788,70,-0.2087,83,0.23290
GRCh38_ENSG00000187608,GRCh38_ISG15,931,-0.2750,1343,0.35775,1064,-0.1793
GRCh38_ENSG00000188157,GRCh38_AGRN,101,0.05491,61,-0.7968,107,0.52672
GRCh38_ENSG00000131591,GRCh38_C1orf159,15,-0.2681,22,0.34246,17,-0.1689
GRCh38_ENSG00000272141,GRCh38_AL390719.2,7,-0.7496,8,-0.5617,13,0.71679
GRCh38_ENSG00000186891,GRCh38_TNFRSF18,37,0.63256,14,-0.9584,27,0.27965
GRCh38_ENSG00000186827,GRCh38_TNFRSF4,28,0.88078,8,-1.1300,17,0.19528
GRCh38_ENSG00000078808,GRCh38_SDF4,109,-0.0609,94,-0.3347,119,0.27389
GRCh38_ENSG00000176022,GRCh38_B3GALT6,24,-0.3775,17,-0.9595,36,0.84435
GRCh38_ENSG00000160087,GRCh38_UBE2J2,28,-0.7230,47,0.08021,46,0.19711
GRCh38_ENSG00000131584,GRCh38_ACAP3,38,-0.2010,35,-0.3608,47,0.35416
GRCh38_ENSG00000169972,GRCh38_PUSL1,29,0.95362,11,-0.6618,16,-0.0918
GRCh38_ENSG00000127054,GRCh38_INTS11,103,0.37590,56,-0.6581,86,0.26592
GRCh38_ENSG00000224051,GRCh38_CPTP,40,0.01474,56,0.67641,34,-0.5552
GRCh38_ENSG00000107404,GRCh38_DVL1,40,-0.3280,49,-0.0085,51,0.13752
GRCh38_ENSG00000162576,GRCh38_MXRA8,64,0.10002,22,-1.6159,70,0.94744
GRCh38_ENSG00000175756,GRCh38_AURKAIP1,129,0.01469,95,-0.5280,138,0.37275
GRCh38_ENSG00000221978,GRCh38_CCNL2,176,0.13283,143,-0.2152,165,0.09901
GRCh38_ENSG00000242485,GRCh38_MRPL20,112,-0.2308,95,-0.5406,142,0.49528
GRCh38_ENSG00000179403,GRCh38_VWA1,63,-0.1210,98,0.67866,61,-0.5069
GRCh38_ENSG00000160072,GRCh38_ATAD3B,46,0.65976,23,-0.5257,31,0.01875
GRCh38_ENSG00000197785,GRCh38_ATAD3A,31,0.09286,20,-0.6276,31,0.39958
GRCh38_ENSG00000160075,GRCh38_SSU72,122,0.03569,110,-0.1458,121,0.09354
GRCh38_ENSG00000197530,GRCh38_MIB2,50,-0.3391,35,-0.9598,72,0.82650
GRCh38_ENSG00000008130,GRCh38_NADK,57,0.26661,31,-0.7546,52,0.38610
GRCh38_ENSG00000078369,GRCh38_GNB1,209,0.11869,116,-0.8750,215,0.54038
GRCh38_ENSG00000067606,GRCh38_PRKCZ,30,-0.0091,29,-0.0903,31,0.07218
GRCh38_ENSG00000162585,GRCh38_FAAP20,70,0.40952,23,-1.3941,61,0.64204
GRCh38_ENSG00000157933,GRCh38_SKI,22,-0.1312,13,-1.0526,28,0.78064
GRCh38_ENSG00000157916,GRCh38_RER1,104,-0.2861,145,0.28589,121,-0.1157
GRCh38_ENSG00000157911,GRCh38_PEX10,20,-0.3876,19,-0.5164,28,0.54499
GRCh38_ENSG00000149527,GRCh38_PLCH2,22,-0.3531,23,-0.3163,30,0.38400
GRCh38_ENSG00000157873,GRCh38_TNFRSF14,93,0.75482,28,-1.2115,63,0.32191
GRCh38_ENSG00000162591,GRCh38_MEGF6,33,0.47981,15,-0.8710,26,0.32883
GRCh38_ENSG00000158109,GRCh38_TPRG1L,55,-0.2560,65,0.00276,66,0.10157
GRCh38_ENSG00000116213,GRCh38_WRAP73,13,-0.5483,15,-0.3812,20,0.50747
GRCh38_ENSG00000130764,GRCh38_LRRC47,41,-0.2755,34,-0.6116,55,0.56450
GRCh38_ENSG00000069424,GRCh38_KCNAB2,27,0.86217,17,0.13935,14,-0.5401
GRCh38_ENSG00000116251,GRCh38_RPL22,732,0.13955,359,-1.0592,752,0.63598
GRCh38_ENSG00000116237,GRCh38_ICMT,52,-0.7900,74,-0.2689,95,0.50287
GRCh38_ENSG00000158292,GRCh38_GPR153,30,-0.3641,25,-0.7524,43,0.70049
GRCh38_ENSG00000097021,GRCh38_ACOT7,39,-0.8372,58,-0.2527,73,0.50473
GRCh38_ENSG00000069812,GRCh38_HES2,38,-1.5243,88,-0.2690,116,0.69773
GRCh38_ENSG00000187017,GRCh38_ESPN,7,-1.8920,27,0.02931,29,0.50187
GRCh38_ENSG00000215788,GRCh38_TNFRSF25,49,-0.2182,38,-0.6812,62,0.58629
GRCh38_ENSG00000171680,GRCh38_PLEKHG5,16,-1.5940,43,-0.1399,52,0.59999
GRCh38_ENSG00000162408,GRCh38_NOL9,28,0.11017,13,-1.1759,30,0.71782
GRCh38_ENSG00000204859,GRCh38_ZBTB48,22,0.47706,13,-0.3338,16,0.00368
GRCh38_ENSG00000162413,GRCh38_KLHL21,50,-0.1603,88,0.89550,47,-0.6845
GRCh38_ENSG00000116273,GRCh38_PHF13,8,-0.9925,21,0.57027,15,-0.1587
