Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7to10,Feature log2 fold change topic 7to10
GRCh38_ENSG00000188976,GRCh38_NOC2L,42,-0.1456,39,-0.2998,31,-0.7536,62,0.80038
GRCh38_ENSG00000187961,GRCh38_KLHL17,22,0.57417,8,-1.1075,13,-0.2992,19,0.56061
GRCh38_ENSG00000187583,GRCh38_PLEKHN1,7,-1.7945,43,1.26626,18,-0.4746,20,-0.2593
GRCh38_ENSG00000188290,GRCh38_HES4,71,-0.1788,70,-0.2087,65,-0.3759,96,0.49552
GRCh38_ENSG00000187608,GRCh38_ISG15,931,-0.2750,1343,0.35775,943,-0.3194,1155,0.10521
GRCh38_ENSG00000188157,GRCh38_AGRN,101,0.05491,61,-0.7968,67,-0.7243,138,0.96074
GRCh38_ENSG00000131591,GRCh38_C1orf159,15,-0.2681,22,0.34246,13,-0.5405,20,0.27942
GRCh38_ENSG00000272141,GRCh38_AL390719.2,7,-0.7496,8,-0.5617,4,-1.8527,20,1.71980
GRCh38_ENSG00000186891,GRCh38_TNFRSF18,37,0.63256,14,-0.9584,38,0.92751,18,-0.7068
GRCh38_ENSG00000186827,GRCh38_TNFRSF4,28,0.88078,8,-1.1300,20,0.44479,15,-0.2500
GRCh38_ENSG00000078808,GRCh38_SDF4,109,-0.0609,94,-0.3347,118,0.08392,121,0.15442
GRCh38_ENSG00000176022,GRCh38_B3GALT6,24,-0.3775,17,-0.9595,26,-0.3493,43,0.90704
GRCh38_ENSG00000160087,GRCh38_UBE2J2,28,-0.7230,47,0.08021,46,0.05462,47,0.11856
GRCh38_ENSG00000131584,GRCh38_ACAP3,38,-0.2010,35,-0.3608,34,-0.4668,56,0.65548
GRCh38_ENSG00000169972,GRCh38_PUSL1,29,0.95362,11,-0.6618,13,-0.3878,18,0.23548
GRCh38_ENSG00000127054,GRCh38_INTS11,103,0.37590,56,-0.6581,67,-0.3983,101,0.53795
GRCh38_ENSG00000224051,GRCh38_CPTP,40,0.01474,56,0.67641,24,-0.8982,42,0.15855
GRCh38_ENSG00000107404,GRCh38_DVL1,40,-0.3280,49,-0.0085,36,-0.6258,62,0.59805
GRCh38_ENSG00000162576,GRCh38_MXRA8,64,0.10002,22,-1.6159,132,2.14632,24,-1.7719
GRCh38_ENSG00000175756,GRCh38_AURKAIP1,129,0.01469,95,-0.5280,101,-0.4706,165,0.67216
GRCh38_ENSG00000221978,GRCh38_CCNL2,176,0.13283,143,-0.2152,107,-0.7908,209,0.67542
GRCh38_ENSG00000242485,GRCh38_MRPL20,112,-0.2308,95,-0.5406,99,-0.5360,175,0.80879
GRCh38_ENSG00000179403,GRCh38_VWA1,63,-0.1210,98,0.67866,75,0.17827,50,-0.6724
GRCh38_ENSG00000160072,GRCh38_ATAD3B,46,0.65976,23,-0.5257,17,-1.1352,42,0.81316
GRCh38_ENSG00000197785,GRCh38_ATAD3A,31,0.09286,20,-0.6276,15,-1.2300,43,1.17176
GRCh38_ENSG00000160075,GRCh38_SSU72,122,0.03569,110,-0.1458,101,-0.3248,137,0.34493
GRCh38_ENSG00000197530,GRCh38_MIB2,50,-0.3391,35,-0.9598,25,-1.6129,107,1.68883
GRCh38_ENSG00000008130,GRCh38_NADK,57,0.26661,31,-0.7546,40,-0.3854,62,0.61962
GRCh38_ENSG00000078369,GRCh38_GNB1,209,0.11869,116,-0.8750,166,-0.3161,251,0.67908
GRCh38_ENSG00000067606,GRCh38_PRKCZ,30,-0.0091,29,-0.0903,20,-0.7609,38,0.63431
GRCh38_ENSG00000162585,GRCh38_FAAP20,70,0.40952,23,-1.3941,44,-0.4406,75,0.84275
GRCh38_ENSG00000157933,GRCh38_SKI,22,-0.1312,13,-1.0526,39,1.05462,20,-0.4408
GRCh38_ENSG00000157916,GRCh38_RER1,104,-0.2861,145,0.28589,98,-0.4723,139,0.27733
GRCh38_ENSG00000157911,GRCh38_PEX10,20,-0.3876,19,-0.5164,24,-0.1436,32,0.54708
GRCh38_ENSG00000149527,GRCh38_PLCH2,22,-0.3531,23,-0.3163,9,-2.0291,47,1.52747
GRCh38_ENSG00000157873,GRCh38_TNFRSF14,93,0.75482,28,-1.2115,69,0.33894,58,-0.0412
GRCh38_ENSG00000162591,GRCh38_MEGF6,33,0.47981,15,-0.8710,41,1.18302,15,-0.9815
GRCh38_ENSG00000158109,GRCh38_TPRG1L,55,-0.2560,65,0.00276,63,-0.0498,68,0.12980
GRCh38_ENSG00000116213,GRCh38_WRAP73,13,-0.5483,15,-0.3812,20,0.13098,21,0.28933
GRCh38_ENSG00000130764,GRCh38_LRRC47,41,-0.2755,34,-0.6116,49,-0.0262,59,0.46440
GRCh38_ENSG00000069424,GRCh38_KCNAB2,27,0.86217,17,0.13935,11,-0.7359,17,0.06825
GRCh38_ENSG00000116251,GRCh38_RPL22,732,0.13955,359,-1.0592,416,-0.9079,1004,1.15726
GRCh38_ENSG00000116237,GRCh38_ICMT,52,-0.7900,74,-0.2689,93,0.15430,96,0.26544
GRCh38_ENSG00000158292,GRCh38_GPR153,30,-0.3641,25,-0.7524,33,-0.3043,51,0.77956
