Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
GRCh38_ENSG00000188976,GRCh38_NOC2L,42,-0.1456,39,-0.2998,43,-0.0932,25,-1.0410,71,0.71145,61,0.44234,58,0.43155
GRCh38_ENSG00000187961,GRCh38_KLHL17,22,0.57417,8,-1.1075,18,0.27418,11,-0.6205,21,0.50818,16,0.06861,20,0.45291
GRCh38_ENSG00000187583,GRCh38_PLEKHN1,7,-1.7945,43,1.26626,20,-0.1938,17,-0.5347,16,-0.5115,15,-0.6042,25,0.15130
GRCh38_ENSG00000188290,GRCh38_HES4,71,-0.1788,70,-0.2087,103,0.42300,47,-0.8935,72,-0.1600,77,-0.0413,118,0.75422
GRCh38_ENSG00000187608,GRCh38_ISG15,931,-0.2750,1343,0.35775,1085,-0.0317,872,-0.4181,1491,0.48704,1422,0.40809,854,-0.4534
GRCh38_ENSG00000188157,GRCh38_AGRN,101,0.05491,61,-0.7968,93,-0.0687,53,-1.0136,182,1.03779,95,-0.0366,137,0.64648
GRCh38_ENSG00000131591,GRCh38_C1orf159,15,-0.2681,22,0.34246,27,0.67600,7,-1.5868,18,-0.0074,10,-0.8284,26,0.70002
GRCh38_ENSG00000272141,GRCh38_AL390719.2,7,-0.7496,8,-0.5617,5,-1.2282,3,-1.9495,5,-1.3058,24,1.19769,26,1.65791
GRCh38_ENSG00000186891,GRCh38_TNFRSF18,37,0.63256,14,-0.9584,88,2.22942,13,-1.0683,10,-1.3760,4,-2.7113,29,0.27509
GRCh38_ENSG00000186827,GRCh38_TNFRSF4,28,0.88078,8,-1.1300,37,1.32518,12,-0.4951,10,-0.7888,10,-0.7443,20,0.30992
